CountryName,Province,Area,HealthExpenditure,LifeExpectancy,Population,ExtraColumn
Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),8769211.992,245.0346535,73.39013107,378327628,378327628
Tonga,Tonga,750,203.1502239,70.701,103197,103197
South Asia (IDA & IBRD),South Asia (IDA & IBRD),5135333.062,58.49732028,69.1713119,1814388744,1814388744
Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (IDA & IBRD countries),21754456,78.37422732,60.88000237,1078306520,1078306520
Trinidad and Tobago,Trinidad and Tobago,5130,1063.827062,73.245,1389858,1389858
Tunisia,Tunisia,163610,256.5018448,76.31,11565204,11565204
Turkey,Turkey,785350,468.6472813,77.161,82319724,82319724
Tuvalu,Tuvalu,30,507.3523714,,11508,11508
Tanzania,Tanzania,947300,35.49967383,64.479,56318348,56318348
Uganda,Uganda,241550,37.60696696,62.516,42723139,42723139
Ukraine,Ukraine,603550,141.1911478,71.78097561,44622516,44622516
Upper middle income,Upper middle income,59882254.84,454.8030627,75.52253325,2655635719,2655635719
Uruguay,Uruguay,176220,1379.098557,77.632,3449299,3449299
Uzbekistan,Uzbekistan,447400,135.1111585,71.388,32955400,32955400
St. Vincent and the Grenadines,St. Vincent and the Grenadines,390,250.2166125,72.3,110210,110210
Venezuela,Venezuela,912050,1578.440192,72.246,28870195,28870195
British Virgin Islands,British Virgin Islands,150,,,29802,29802
Virgin Islands (U.S.),Virgin Islands (U.S.),350,,79.4195122,106977,106977
Vietnam,Vietnam,331230,122.8411739,75.241,95540395,95540395
Vanuatu,Vanuatu,12190,109.8141407,70.172,292680,292680
World,World,132025199.4,1026.243163,72.38300866,7594270356,7594270356
Samoa,Samoa,2840,227.1485088,73.046,196130,196130
Kosovo,Kosovo,10887,,71.94634146,1845300,1845300
Yemen. Rep.,Yemen. Rep.,527970,72.03946941,66.086,28498687,28498687
South Africa,South Africa,1219090,428.1760176,63.538,57779622,57779622
Zambia,Zambia,752610,56.5441821,63.043,17351822,17351822
Zimbabwe,Zimbabwe,390760,93.94222513,60.812,14 439 018.00,14439018
US,Alabama,135775.0458,9869.742382,75.5,4 903 185,4903185
US,Alaska,1700134.186,9869.742382,78.8,731 545,731545
US,Arizona,295274.3999,9869.742382,79.9,7 278 717,7278717
US,Arkansas,137740.8482,9869.742382,76,3 017 804,3017804
US,California,423999.4929,9869.742382,81.3,39 512 223,39512223
US,Colorado,269617.959,9869.742382,80.5,5 758 736,5758736
US,Connecticut,14358.90456,9869.742382,80.9,3 565 287,3565287
US,Delaware,5060.84046,9869.742382,78.7,973 764,973764
US,District of Columbia,176.11932,9869.742382,78.5,705 749,705749
US,Florida,170312.5624,9869.742382,80.1,21 477 737,21477737
US,Georgia,153951.5956,9869.742382,77.7,10 617 423,10617423
US,Hawaii,28313.77068,9869.742382,82,1 415 872,1415872
US,Idaho,216455.8243,9869.742382,79.4,1 787 065,1787065
US,Illinois,150007.0408,9869.742382,79.3,12 671 821,12671821
US,Indiana,94327.4358,9869.742382,77.4,6 732 219,6732219
US,Iowa,145754.2772,9869.742382,79.6,3 155 070,3155070
US,Kansas,213109.5572,9869.742382,78.6,2 913 314,2913314
US,Kentucky,104664.0859,9869.742382,75.9,4 467 673,4467673
US,Louisiana,134272.8516,9869.742382,76,4 648 794,4648794
US,Maine,91651.97613,9869.742382,79,1 344 212,1344212
US,Maryland,32134.00593,9869.742382,79.6,6 045 680,6045680
US,Massachusetts,27337.34445,9869.742382,80.7,6 892 503,6892503
US,Michigan,250736.9319,9869.742382,78.2,9 986 857,9986857
US,Minnesota,225181.5006,9869.742382,81,5 639 632,5639632
US,Mississippi,125443.5757,9869.742382,74.9,2 976 149,2976149
US,Missouri,180545.6129,9869.742382,77.6,6 137 428,6137428
US,Montana,380847.6695,9869.742382,78.6,1 068 778,1068778
US,Nebraska,200356.4464,9869.742382,79.6,1 934 408,1934408
US,Nevada,286367.4243,9869.742382,78.4,3 080 156,3080156
US,New Hampshire,24218.99649,9869.742382,80.1,1 359 711,1359711
US,New Jersey,22589.89278,9869.742382,80.5,8 882 190,8882190
US,New Mexico,314924.6541,9869.742382,78.4,2 096 829,2096829
US,New York,141089.7053,9869.742382,81,19 453 561,19453561
US,North Carolina,139395.8518,9869.742382,78.1,10 488 084,10488084
US,North Dakota,183122.653,9869.742382,79.7,762 062,762062
US,Ohio,116104.0717,9869.742382,77.6,11 689 100,11689100
US,Oklahoma,181048.071,9869.742382,75.8,3 956 971,3956971
US,Oregon,254818.7561,9869.742382,79.6,4 217 737,4217737
US,Pennsylvania,119289.7594,9869.742382,78.6,12 801 989,12801989
US,Rhode Island,4001.53455,9869.742382,79.9,1 059 361,1059361
US,South Carolina,82897.80993,9869.742382,77,5 148 714,5148714
US,South Dakota,199742.6188,9869.742382,79.4,884 659,884659
US,Tennessee,109157.7185,9869.742382,76.3,6 829 174,6829174
US,Texas,695673.904,9869.742382,78.8,28 995 881,28995881
US,Utah,219900.511,9869.742382,79.8,3 205 958,3205958
US,Vermont,24902.75385,9869.742382,80,623 989,623989
US,Virginia,110771.2823,9869.742382,79.4,8 535 519,8535519
US,Washington,184674.057,9869.742382,80.3,7 614 893,7614893
US,West Virginia,62758.04769,9869.742382,75.3,1 792 147,1792147
US,Wisconsin,169652.115,9869.742382,79.6,5 822 434,5822434
US,Wyoming,253347.6418,9869.742382,78.8,578 759,578759
China,Anhui,139700,398.3315557,75.08,63240000,63240000
China,Beijing,16800,398.3315557,80.18,21540000,21540000
China,Chongqing,82300,398.3315557,75.7,31020000,31020000
China,Fujian,121300,398.3315557,75.76,39410000,39410000
China,Gansu,454300,398.3315557,72.23,26370000,26370000
China,Guangdong,180000,398.3315557,76.49,113460000,113460000
China,Guangxi Zhuang,236000,398.3315557,75.11,49260000,49260000
China,Guizhou,176000,398.3315557,71.1,36000000,36000000
China,Hainan,34000,398.3315557,76.3,9340000,9340000
China,Hebei,187700,398.3315557,74.97,75560000,75560000
China,Heilongjiang,454000,398.3315557,75.98,37730000,37730000
China,Henan,167000,398.3315557,74.57,96050000,96050000
China,Hong Kong Special,1104,398.3315557,,,0
China,Hubei,185900,398.3315557,74.87,59170000,59170000
China,Hunan,210000,398.3315557,74.7,68990000,68990000
China,Inner Mongolia,1183000,398.3315557,74.44,25340000,25340000
China,Jiangsu,102600,398.3315557,76.63,80510000,80510000
China,Jiangxi,167000,398.3315557,74.33,46480000,46480000
China,Jilin,187400,398.3315557,76.18,27040000,27040000
China,Liaoning,145900,398.3315557,76.38,43590000,43590000
